"Cliente","Database","Totale Fatture","Data Attivazione","Data rilevazione"
"AGL","agl",1000,"01/08/2019","04/08/2020"
"Alphaservice","alphaservice",5000,"01/01/2021",30/04/2026
"Came","cameprinting",1000,"01/01/2020","04/08/2020"
"CopyService","copyservice",15000,"01/01/2019",30/04/2026
"Forpress","forpress",9000,"01/01/2020",30/04/2026
"Futuro","futuro",49,"01/01/2021","30/04/2025"
"Gallo Arti Grafiche","galloartigrafiche",10000,"01/03/2023",30/04/2026
"Green Hub","greenhub",1,"01/01/2019","10/12/2019"
"Impronta Digitale","improntadigitale",12000,"01/01/2019",30/04/2026
"Leonardo","leonardo",6100,"01/05/2019","23/02/2021"
"Locopress","locopress",100,"01/01/2021","05/02/2021"
"Nuova Carrozzeria Lux","carrozzerialux",1,"01/01/2019","10/12/2019"
"Oplaprint","oplaprint",1000,"01/01/2020","14/06/2022"
"Pointec","pointec",4000,"01/01/2019","22/06/2020"
"PrintIdeas","printideas",3000,"01/01/2020","14/06/2022"
"Servizi Grafici","servizigrafici",11000,"01/01/2019",30/04/2026
"SHS-AV srl","shs-av",1000,"01/01/2019",30/04/2026
"Tipitalia","tipitalia",1200,"01/01/2020","05/02/2021"
"Vampigroup","vampigroup",5600,"01/01/2020","30/09/2023"
"XFP","xfp",1951,"13/03/2025",30/04/2026
"Zavixtech","zavixtech",13200,"01/03/2019",30/04/2026
"Zeroincombenze","zeroincombenze",500,"31/03/2025",30/04/2026
