id,description,name,sequence,amount,amount_type,type_tax_use,price_include,account_id/id,refund_account_id/id,tag_ids/id,children_tax_ids/id,chart_template_id:id,tax_group_id/id
22v,22v,IVA 22% su vendite,1,22,percent,sale,False,260010,260010,,,l10n_chart_it_zeroincombenze,tax_group_it
22a,22a,IVA 22% da acquisti,2,22,percent,purchase,False,153010,153010,,,l10n_chart_it_zeroincombenze,tax_group_it
10v,10v,IVA 10% su vendite,3,10,percent,sale,False,260010,260010,,,l10n_chart_it_zeroincombenze,tax_group_it
10a,10a,IVA 10% da acquisti,4,10,percent,purchase,False,153010,153010,,,l10n_chart_it_zeroincombenze,tax_group_it
5v,5v,IVA 5% su vendite,5,5,percent,sale,False,260010,260010,,,l10n_chart_it_zeroincombenze,tax_group_it
5a,5a,IVA 5% da acquisti,6,5,percent,purchase,False,153010,153010,,,l10n_chart_it_zeroincombenze,tax_group_it
4v,4v,IVA 4% su vendite,7,4,percent,sale,False,260010,260010,,,l10n_chart_it_zeroincombenze,tax_group_it
4a,4a,IVA 4% da acquisti,8,4,percent,purchase,False,153010,153010,,,l10n_chart_it_zeroincombenze,tax_group_it
a17a,a17a,Acq. FC IVA Art.17 DPR633,21,,percent,purchase,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a17v,a17v,Vend.FC IVA Art.17 DPR633,22,,percent,sale,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c2a,a17c2a,Acq. (RC 22%) N.I. art.17 c.2 DPR633,23,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa17c2v,aa17c2v,Rev. charge art.17 c.2 DPR633,200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c2v,a17c2v,Vend. (RC 22%) N.I. art.17 c.2 DPR633,24,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6a,a17c6a,Acq. (RC 22%) N.I. art.17 c.6 DPR633,25,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa17c6v,aa17c6v,Rev. charge art.17c6 DPR633,200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6v,a17c6v,Vend. (RC 22%) N.I. art.17c6 DPR633,26,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6ata,a17c6ata,Acq. (RC 22%) N.I. Art.17 c.6 lett. A-ter DPR633,27,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa17c6atv,aa17c6atv,Rev. Charge Art.17 c.6 lett. A-ter DPR633,200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6atv,a17c6atv,Vend.(RC 22%) N.I. Art.17 c.6 lett. A-ter DPR633,28,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6ba,a17c6ba,Acq. (RC 22%) N.I. art.17 c.6 lett. B DPR633 (Cellulari),29,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa17c6bv,aa17c6bv,Rev. Charge art.17 c.6 lett. B DPR633 (Cellulari),200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6bv,a17c6bv,Vend. (RC 22%) art.17 c.6 lett. B DPR633 (Cellulari),30,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6ca,a17c6ca,Acq. (RC 22%) N.I. Art.17 c.6 lett. C DPR633 (Elettronici),31,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa17c6cv,aa17c6cv,Rev. Charge Art.17 c.6 lett. C DPR633 (Elettronici),200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a17c6cv,a17c6cv,Vend. (RC 22%) Art.17 c.6 lett. C DPR633 (Elettronici),32,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a38a,a38a,Acq. (RC 22%) N.I. art.38 L.427/93,33,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa38v,aa38v,Rev. charge art.38 L.427/93,200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a38v,a38v,Vend. N.I. Art.38 L.427/93,34,,percent,sale,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a41a,a41a,Acq. (RC 22%) N.I. art.41 L.427/93,36,22,percent,purchase,False,153050,153050,,,l10n_chart_it_zeroincombenze,tax_group_it
aa41v,aa41v,Rev.Charge N.I. art.41 L.427/93,200,22,percent,sale,False,260050,260050,,,l10n_chart_it_zeroincombenze,tax_group_it
a41v,a41v,Vend.N.I. art.41 L.427/93,36,,percent,sale,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a7a,a7a,Acq. N.I. art.7 DPR633,41,,percent,purchase,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a7v,a7v,Vend.N.I. art.7 DPR633,42,,percent,sale,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a7ta,a7ta,Acq. NI art.7ter DPR633 (servizi xUE),43,,percent,purchase,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
a7tv,a7tv,Vend.NI art.7ter DPR633 (servizi xUE),44,,percent,sale,False,,,,,l10n_chart_it_zeroincombenze,tax_group_it
